date,mean_temp,mean_sal,mean_do,mean_turb
2012-04-30,24.972916666666666,36.873958333333334,5.770833333333333,6.583333333333333
2012-05-01,25.415625,36.859375,5.7,7.302083333333333
2012-05-02,25.501041666666666,37.10208333333333,5.747916666666667,10.135416666666666
2012-05-03,25.471875,37.168749999999996,5.666666666666667,13.260416666666666
2012-05-04,25.41875,37.126041666666666,5.538541666666666,17.135416666666668
2012-05-05,25.485416666666666,37.084375,5.519791666666666,19.395833333333332
2012-05-06,25.583333333333332,37.05104166666666,5.545833333333333,18.34375
2012-05-07,25.622916666666665,36.98854166666667,5.566666666666666,13.125
2012-05-08,25.876041666666666,36.94895833333333,5.338541666666667,12.458333333333334
2012-05-09,26.288541666666667,36.95520833333333,5.23125,15.78125
2012-05-10,26.077083333333334,36.95625,5.53125,12.604166666666666
2012-05-11,25.985416666666666,36.97604166666667,5.459375,12.802083333333334
2012-05-12,25.509375,37.028125,5.665625,11.21875
2012-05-13,25.066666666666666,37.20729166666666,5.590625,11.802083333333334
2012-05-14,24.9625,37.21666666666667,5.376041666666667,12.947916666666666
2012-05-15,25.18125,37.18541666666667,5.297916666666667,12.760416666666666
2012-05-16,25.121875,37.729166666666664,5.042708333333334,10.479166666666666
2012-05-17,25.21875,37.91458333333333,4.961458333333334,10.6875
2012-05-18,25.414583333333333,37.786458333333336,5.332291666666666,12.166666666666666
2012-05-19,25.405208333333334,37.753125,5.821875,11.479166666666666
2012-05-20,25.20104166666667,37.80104166666666,5.828125,11.020833333333334
2012-05-21,25.239583333333332,37.890625,5.776041666666667,11.583333333333334
2012-05-22,25.723958333333332,37.990625,5.419791666666667,11.885416666666666
2012-05-23,26.160416666666666,38.1,5.314583333333333,13.322916666666666
2012-05-24,26.86875,38.26770833333333,5.263541666666667,15.53125
2012-05-25,27.429166666666667,38.27916666666667,5.345833333333333,14.958333333333334
2012-05-26,27.490625,38.22291666666667,5.392708333333333,12.770833333333334
2012-05-27,26.81458333333333,38.23020833333334,5.709375,13.1875
2012-05-28,25.731578947368423,37.36631578947368,5.514736842105263,17.389473684210525
2012-05-29,25.441666666666666,37.08541666666667,5.316666666666666,19.572916666666668
2012-05-30,25.858333333333334,36.95520833333333,5.319791666666667,27.854166666666668
2012-05-31,26.345833333333335,37.06979166666667,5.3125,19.958333333333332
2012-06-01,26.330526315789474,36.997894736842106,5.232631578947369,20.094736842105263
2012-06-02,26.316666666666666,37.1375,5.346875,18.15625
2012-06-03,26.3,37.22291666666667,5.560416666666667,27.375
2012-06-04,26.615730337078652,37.44719101123596,5.7561797752808985,57.98876404494382
2012-06-05,26.890625,37.49375,5.722916666666666,18.625
2012-06-06,26.904166666666665,37.41354166666667,5.533333333333333,19.916666666666668
2012-06-07,26.694791666666667,36.809375,5.41875,14.333333333333334
2012-06-08,26.3875,35.57083333333333,5.340625,14.208333333333334
2012-06-09,26.414583333333333,35.51354166666667,5.426041666666666,13.822916666666666
2012-06-10,26.834375,35.197916666666664,5.319791666666666,15.125
2012-06-11,27.44375,35.123958333333334,5.342708333333333,17.09375
2012-06-12,27.651041666666668,34.85520833333334,5.20625,16.96875
2012-06-13,27.619791666666668,35.094791666666666,5.270833333333333,15.84375
2012-06-14,27.630208333333332,35.69375,5.610416666666667,11.447916666666666
2012-06-15,27.179166666666667,36.08541666666667,5.798958333333333,11.46875
2012-06-16,26.746875,36.284375,5.875,13.802083333333334
2012-06-17,26.933333333333334,36.040625,5.729166666666667,12.822916666666666
2012-06-18,27.288541666666667,35.942708333333336,5.611458333333333,11.052083333333334
2012-06-19,27.464583333333334,35.219791666666666,5.636458333333334,9.833333333333334
2012-06-20,27.361458333333335,35.041666666666664,5.760416666666667,12.416666666666666
2012-06-21,27.179166666666667,35.021875,5.691666666666666,13.885416666666666
2012-06-22,27.53333333333333,34.984375,5.527083333333334,15.75
