date,mean_temp,mean_sal,mean_do,mean_turb,pred_tss
2010-01-01,14.4375,33.901041666666664,7.816666666666666,6.072916666666667,21.946218965523585
2010-01-02,13.602083333333333,33.77708333333333,8.059375,5.65625,21.190895968680252
2010-01-03,12.330208333333333,34.00208333333333,8.352083333333333,5.333333333333333,20.60552064612667
2010-01-04,11.5625,34.18541666666667,8.608333333333334,4.395833333333333,18.906043903229172
2010-01-05,10.807291666666666,34.221875,8.823958333333334,3.1354166666666665,16.621191837778092
2010-01-06,10.094791666666666,34.31458333333333,8.959375,1.9375,14.449638221853512
2010-01-07,9.967708333333333,34.38333333333333,9.071875,2.4479166666666665,15.374908892986593
2010-01-08,9.802083333333334,34.39895833333333,9.04375,2.2083333333333335,14.940598169801678
2010-01-09,9.179166666666667,34.65416666666667,8.984375,1.7708333333333333,14.147509023116179
2010-01-10,8.428125,34.80625,9.192708333333334,2.8958333333333335,16.186881114593177
2010-01-11,7.938541666666667,34.565625,9.496875,2.1770833333333335,14.883948945038428
2010-01-12,7.751041666666667,34.45625,9.738541666666666,1.8333333333333333,14.260807472642679
2010-01-13,8.266666666666667,34.13125,9.841666666666667,-0.8125,9.46450644268752
2010-01-14,9.047916666666667,33.58645833333333,9.927083333333334,-4.208333333333333,3.3086240184143634
2010-01-15,9.923958333333333,33.270833333333336,10.067708333333334,-4.364583333333333,3.0253778945981136
2010-01-16,10.839583333333334,33.028125,9.877083333333333,-3.9583333333333335,3.761817816520362
2010-01-17,12.46875,32.91354166666667,9.48125,-1.4166666666666667,8.369288097264688
2010-01-18,13.104166666666666,33.083333333333336,9.19375,1.09375,12.920109153245765
2010-01-19,13.191666666666666,33.28333333333333,9.2875,-0.8645833333333334,9.370091068082104
2010-01-20,13.482291666666667,33.38125,9.395833333333334,-3.0625,5.385762259733526
2010-01-21,13.772916666666667,33.126041666666666,8.965625,-2.4583333333333335,6.480980605156358
2010-01-22,14.532291666666667,32.53958333333333,8.639583333333333,-2.6458333333333335,6.141085256576858
2010-01-23,14.016666666666667,32.884375,8.657291666666667,-3.1770833333333335,5.178048435601609
2010-01-24,14.739583333333334,31.879166666666666,8.582291666666666,-2.6145833333333335,6.197734481340108
2010-01-25,15.976041666666667,30.570833333333333,8.020833333333334,2.59375,15.63927194188176
2010-01-26,15.325000000000001,30.342708333333334,7.6875,4.875,19.774665349599005
2010-01-27,13.866666666666667,32.25625,7.886458333333334,8.104166666666666,25.628418575134827
2010-01-28,13.477083333333333,34.188541666666666,7.646875,4.864583333333333,19.75578227467792
2010-01-29,13.523958333333333,34.557291666666664,7.710416666666667,1.8645833333333333,14.317456697405929
2010-01-30,13.817708333333334,34.50416666666666,7.817708333333333,2.8541666666666665,16.111348814908844
2010-01-31,13.020833333333334,35.063541666666666,7.889583333333333,7.416666666666667,24.38213563034333
2010-02-01,12.264583333333333,34.942708333333336,8.283333333333333,6.927083333333333,23.494631109052413
2010-02-02,12.928125,34.2875,8.166666666666666,6.3125,22.3805296887085
2010-02-03,12.911458333333334,34.16041666666667,8.170833333333333,4.729166666666667,19.510302300703838
2010-02-04,12.970833333333333,34.046875,8.315625,3.2708333333333335,16.866671811752177
2010-02-05,13.55,33.72291666666667,8.121875,1.5520833333333333,13.75096444977343
2010-02-06,14.278125,32.84166666666667,7.971875,2.9479166666666665,16.281296489198592
2010-02-07,13.08125,33.614583333333336,8.055208333333333,2.7604166666666665,15.941401140619092
2010-02-08,12.44375,33.88229166666667,8.25,1.7395833333333333,14.09085979835293
2010-02-09,12.557291666666666,33.528125,8.202083333333333,-0.3333333333333333,10.333127889057351
2010-02-10,12.307291666666666,32.93020833333333,8.282291666666667,-0.8645833333333334,9.370091068082104
2010-02-11,11.630208333333334,32.748958333333334,8.376041666666667,-1.4375,8.331521947422521
2010-02-12,11.297916666666667,32.891666666666666,8.309375000000001,0.28125,11.447229309401267
2010-02-13,10.767708333333333,32.91875,8.459375,2.0833333333333335,14.714001270748678
2010-02-14,10.766666666666667,32.35520833333333,8.607291666666667,1.9375,14.449638221853512
2010-02-15,11.144791666666666,31.66979166666667,8.730208333333334,4.541666666666667,19.17040695212434
2010-02-16,11.39375,30.522916666666667,8.727083333333333,3.96875,18.131837831464757
2010-02-17,11.296875,28.792708333333334,8.783333333333333,2.28125,15.072779694249261
2010-02-18,11.3125,29.253125,8.769791666666666,0.8125,12.410266130376515
2010-02-19,11.667708333333334,29.805208333333333,8.807291666666666,-0.21875,10.540841713189268
2010-02-20,12.444791666666667,30.151041666666668,8.786458333333334,-1.0625,9.01131264458152
2010-02-21,13.083333333333334,30.773958333333333,8.727083333333333,-1.5208333333333333,8.180457348053856
2010-02-22,13.667708333333334,31.340625,8.382291666666667,-1.4375,8.331521947422521
2010-02-23,14.327083333333334,31.594791666666666,8.189583333333333,-0.020833333333333332,10.899620136689851
2010-02-24,14.532291666666666,31.554166666666667,8.048958333333333,-0.90625,9.29455876839777
2010-02-25,13.529166666666667,31.561458333333334,8.151041666666666,-0.5625,9.917700240793518
2010-02-26,12.94375,31.516666666666666,8.148958333333333,1.25,13.203355277062014
2010-02-27,12.533333333333333,31.636458333333334,7.965625,2.875,16.14911496475101
2010-02-28,12.439583333333333,32.016666666666666,8.064583333333333,2.0416666666666665,14.638468971064345
2010-03-01,12.947916666666666,32.26875,8.153125,1.15625,13.033407602772265
2010-03-02,13.665625,32.45,8.041666666666666,4.34375,18.811628528623757
2010-03-03,13.397916666666667,32.55,8.05,6.6875,23.0603203858675
